CompanyName,Location,JobTitle,JobSalary,JobDescription
"Xtivia Inc
4.4",Remote,Data Scientist,Employer Provided Salary:$70 - $75 Per Hour,"XTIVIA - Data Scientist

Start Date: ASAP
Duration: 6 Months Contract
Location: Remote (occasional travel to New Orleans & Houston)

How you will make a difference
The Data Scientist will be a part of a dynamic and fun environment where you will be responsible for working with stakeholders to identify opportunities for leveraging data to drive business results, build machine learning models that help create unique customer experiences through all phases of development, from design through training, evaluation, validation, and implementation. You will be part of a dynamic culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.













Show More"
BlueSky Technology Solutions,Remote,Data Scientist - 100% Remote,Employer Provided Salary:$150K - $175K,"We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.
Healthcare knowledge including hands-on experience working with Healthcare Provider and Patient data for analytics purposes.
Show More"
"Business Intelli Solutions
3.7","Denver, CO",Data Scientist,Employer Provided Salary:$60 Per Hour,"Charter Communications | Data Analyst/Scientist (Denver Tech Center – Must be able to relocate to Denver in 2-3 weeks no exceptions)
Open to C2C or transferring/starting visas.
This LT Contract role is 60% onsite local in Denver/40% remote local in Denver. Must be able to relocate to Denver in 2-3 weeks no exceptions.
Charter Communications | Data Analyst/Scientist (Denver Tech Center)
Job Title
Data Analyst/Scientist
Job Description
Experienced individual contributor in Data Analytics (and possibly Machine Learning), will be responsible for extracting value from IoT data and build models based on collected data or data available in the public domain.
The candidate main role would be to handle all the Data Analytics processes from data collection, cleaning, transformation, and enrichment of IoT data before storing it in a data store for querying and analysis.
In addition, the candidate will develop algorithms to analyze data, gather insights and analytics, create business decision flow and dashboard to visualize them. The position is part of the industrial IoT R&D team.
Show More"
"Apptrics LLC
5.0",Remote,Data Scientist,Employer Provided Salary:$50 - $55 Per Hour,"Data Scientist
Remote
Primary Skills:
5-8 years of experience with data science and analytical services.
Domain: Experience in Oil and Gas domain or Manufacturing domain.
Exposure to software product development and experience with real time data acquisition system.
Expertise in predictive modeling, machine learning, and statistics.
Well-versed in machine learning algorithms and their suitability for solving various problems: Regression, Bayesian, Support Vector Machines, Decision Trees, Random Forest, Clustering, Neural Networks.
Show More"
Talentheed Inc,Remote,Junior Data Scientist,Employer Provided Salary:$57K - $119K,"Responsibilities:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Show More"
"intellipro
4.4",Remote,Data Scientist,Employer Provided Salary:$42 - $53 Per Hour,"Responsibilities
Building tools to automate data collection
Searching through large data sets for usable information
Correlating similar data to find actionable results
Develop and assess AI algorithms, based on large and complex data sets, across multiple projects and product lines, to meet customer requirements.
Utilize Machine Learning and NLP techniques to drive innovation
Creating reports and presentations for business uses
Development and assessment of high-quality AI-based solutions that take account of aspects such as transparency, accountability, and trustworthiness.
Show More"
LGL Technologies,Remote,Data Scientist,Employer Provided Salary:$70K - $75K,"LGL Technologies is looking for Data Scientist with below skills
4 Yrs Exp in Data Scientist
Excellent Communication skills
Good understanding of the Machine Learning Model Development and Deployment Lifecycle
Hands-on experience of building and serving ML solutions
Strong technical skills in following key stack:
Python, R, PySpark or Julia
RDBMS – Snowflake, MySQL, Oracle or SQLServer
Show More"
"Medical Products Laboratories
1.8",Remote,Data Scientist,Employer Provided Salary:$40 Per Hour,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Show More"
Samiti Technology,Remote,Sr. Data Scientist,Employer Provided Salary:$80 - $130 Per Hour,"Core Skills:
Python / R, python packages such as Pandas, SkLearn, Numpy etc 5 years of hands-on experience data science and/or machine learning Time-series (ARIMA, SARIMAX, MA) Supervised and Unsupervised machine learning models (Regressions, Gradient Boosted methods, SVMs, Random Forests, Clustering) End to end machine learning lifecycle experience including feature engineering, model building, model versioning, evaluation and hypothesis testing Deep learning (CNN, RNN, LSTM) and framework library (e.g. Keras, TensorFlow, PyTorch) Cloud computing platforms AWS, Azure (preferably AWS) Degree in Computer Science, Statistics, Information Systems, Data Science
Responsibilities :
Apply to cut statistical machine learning models to build forecasting models
Build predictive models and forecast signals for day-ahead and real-time markets
Job Type: Full-time
Show More"
"Twitch
4.0","San Francisco, CA",Data Analyst (Contract),Employer Provided Salary:$90 - $100 Per Hour,"About Us
Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
We're about community, inside and out. You'll find coworkers who are eager to team up, collaborate, and smash (or elegantly solve) problems together. We're on a quest to empower live communities, so if this sounds good to you, see what we're up to on LinkedIn and Twitter, get interviewing tips on Instagram, and discover projects we're solving on our Blog.
About the Position
For this role, we're looking for a data scientist who will assist our Legal team in analytics, focusing on ensuring operational excellence and compiling data for regulatory reporting. You will report to the Sr. Program Manager of Legal and work closely with many other Legal team stakeholders. Your role on the team is to level up the understanding and capabilities of our Intellectual Property Operations (IP Ops) team and Legal Privacy team to help them gain better insights and inform better decision making from the available data. In addition, the Legal team is required to submit various regulatory reports to government agencies. The reports require compiling specific data points as required by law. In a typical week or month, you will manage data instrumentation, dashboard/report building, metrics reviews, and ad hoc analysis.
Show More"
