CompanyName,Location,JobTitle,JobSalary,JobDescription
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
"Twitch Interactive, Inc.
3.8","San Francisco, CA",Data Scientist - Analytics,$109K - $199K (Glassdoor est.),"You Have: • Bachelor's degree in a mathematic, scientific or information technology field of study; Master's degree preferable • 4+ years of experience as a data scientist or data analyst in a high-velocity environment • Expert fluency in SQL-based data manipulation • Experience using scripting languages such as R or Python for data analysis • Experience building aggregates and optimizing data workstreams • High level of comfort creating dashboards in Tableau or comparable software • Impact-oriented, customer-centric approach to data analysis
Job summary
About Us:

Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It's where millions of people come together to chat, interact, and make their own entertainment.
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on Linkedin, Twitter and on our Blog.

About the Role:

Data is central to Twitch's decision-making process, and data scientists are a critical component to evangelize data-driven decision making in all of our operations. As a data scientist at Twitch, you will be on the ground floor with your team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality, high velocity decisions for your team.

The Creator Data Science & Analytics team is looking for a Data Scientist to support the Content Strategy team. For this role, we're looking for an experienced data scientist to collaborate and support the strategy team in shaping, evaluating, and developing new opportunities for our creators. Reporting to the Manager of Creator Data Science & Analytics, you will be responsible to define and track KPIs, support strategic initiatives, implement data instrumentation, and perform data analysis. In this role, you'll partner with strategy, business/GTM, and finance stakeholders, in bringing business opportunities from idea to launch. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision making to ensure the best experiences for our creators and their communities.

You Will:










Show More"
